data	zarazenia	zgony	wyzdrowienia
1941-11-09	716	250	372
1941-11-10	692	366	255
1941-11-11	800	476	247
1941-11-12	934	357	306
1941-11-13	870	318	289
1941-11-14	1015	504	212
1941-11-15	991	306	386
1941-11-16	1066	521	279
1941-11-17	898	592	342
1941-11-18	906	351	519
1941-11-19	1010	797	218
1941-11-20	1009	768	223
1941-11-21	819	773	293
1941-11-22	886	477	421
1941-11-23	764	645	261
1941-11-24	763	617	393
1941-11-25	787	438	571
1941-11-26	675	428	391
1941-11-27	586	458	428
1941-11-28	651	517	247
1941-11-29	546	448	315
1941-11-30	515	382	405
1941-12-01	559	496	179
1941-12-02	576	388	198
1941-12-03	572	502	149
1941-12-04	513	431	115
1941-12-05	562	287	228
1941-12-06	562	263	296
1941-12-07	531	375	201
1941-12-08	625	361	211
1941-12-09	743	297	216
1941-12-10	886	376	186
1941-12-11	762	414	148
1941-12-12	626	388	143
1941-12-13	722	278	347
1941-12-14	783	584	159
1941-12-15	884	460	426
1941-12-16	958	579	183
1941-12-17	1042	472	154
1941-12-18	1224	372	350
1941-12-19	1455	318	465
1941-12-20	1174	579	305
1941-12-21	1072	553	405
1941-12-22	1229	689	353
1941-12-23	1303	688	536
1941-12-24	1127	793	662
1941-12-25	969	897	277
1941-12-26	950	791	281
1941-12-27	944	673	556
1941-12-28	930	879	424
1941-12-29	1109	610	517
1941-12-30	1169	591	378
1941-12-31	1087	453	497
1942-01-01	1044	405	539
1942-01-02	1066	505	425
1942-01-03	1009	559	550
1942-01-04	978	615	554
1942-01-05	1086	809	278
1942-01-06	1138	774	270
1942-01-07	974	505	561
1942-01-08	779	568	441
1942-01-09	761	538	440
1942-01-10	706	806	280
1942-01-11	798	760	378
1942-01-12	871	669	305
1942-01-13	868	442	337
1942-01-14	715	419	342
1942-01-15	740	460	246
1942-01-16	740	427	371
1942-01-17	775	429	442
1942-01-18	922	689	179
1942-01-19	1047	517	198
1942-01-20	1091	438	302
1942-01-21	1169	354	386
1942-01-22	990	535	240
1942-01-23	1068	482	440
1942-01-24	943	484	563
1942-01-25	761	733	358
1942-01-26	831	649	520
1942-01-27	973	646	344
1942-01-28	933	507	561
1942-01-29	1081	555	388
1942-01-30	893	608	153
1942-01-31	921	611	220
1942-02-01	753	397	576
1942-02-02	606	484	449
1942-02-03	621	670	411
1942-02-04	737	564	329
1942-02-05	623	425	496
1942-02-06	513	514	239
1942-02-07	492	360	246
1942-02-08	470	288	333
1942-02-09	466	227	210
1942-02-10	445	318	305
1942-02-11	500	312	201
